Movie,Song,Lyrics
Aladdin and the King of Thieves,There's a Party Here in Agrabah, there's a party here in agrabah there's excitement in the air people pouring in from near and far 'cause jasmine and aladdin are gonna have a weddin' there's a party here in agrabah everybody will be there so if you're a pauper or a shah do somethin' with your hair you mustn't wear an outfit that's naughty a turban that's unraveling just won't do no earrings that are tasteless or gaudy  you're gonna look gorgeous when i get through there's a party here in agrabah so i'm going to paint the town if you want to see what colors are follow me around aladdin's gettin' married and it's gonna be the wedding of the century my buddy's gettin' married and you're gonna see just how much i can do you've heard of your safari bar mitzvahs you've all been to a luau a sweet sixteen well none of them compare to what this is the food'll be disgusting by evening you'll be busting there's a party here in agrabah and it's got us all aglow if a street rat could've come so far maybe i could do it sure there's nothin' to it there's a party here in agrabah but we're not sure that we'll go for although the bride is lah-dee-dah the groom is awfully low and now we take you down to the palace where everyone has celebrated all night long without jafar and all of his malice everybody's happy what could possibly go wrong  there's a party here in agrabah and we're gonna rob 'em blind  while they're all munching caviar create a small disturbance i'll sneak up from behind  there's a party here in agrabah and the loot is pourin' in i like this wedding stuff so far maybe if i'm pleasant i'll get to keep a present  we've ordered just a few tasteful flowers the valets will carefully park for you the bridesmaids have been dressing for hours girls you look just lovely and so grown-up too there's a party here in agrabah guests are filling up the room but there's something missingyes ah ha  where is the groom 
Aladdin and the King of Thieves,Welcome to the Forty Thieves, congratulations bub you've joined the club and everybody here agrees we got the finest blend of nearly-honest men welcome to the forty thieves a fraternity of thugs that you can trust there's nothing up our eighty sleeves got lotsa grub to share pull up an easy chair welcome to the forty thieves now you get to lie and cheat never have to brush your teeth but we always aim to please care for one another you'll never miss your mother  oh i  love  you guys  schemin' up a scam out on the lam takin' whatever we please and if you like to lurk you're gonna love this work welcome to the forty thieves welcome to the forty thieves  together we're the perfect team larceny is in the genes dare to share the family dream   live a life of leisure countin' all your treasure  as an honorary member of the gang that no one alive ever leaves ya gotta snatch and sneak or else your future's bleak we got a lifetime contract that you're bound to keep you wanna save your skin you better fit right in wel-wel-welcome to the wel-wel-welcome to the forty thieves 
Alice in Wonderland,Alice in Wonderland,alice in wonderland how do you get to wonderland over the hill or under land or just behind a tree when clouds go rolling by they roll away and leave the sky where is the land behind the eye people cannot see where can you see where do the stars go where is the crescent moon they must be somewhere in the sunny afternoon alice in wonderland where is the path to wonderland over the hill or here or there i wonder where 
Alice in Wonderland,All in the Golden Afternoon,little bread-and-butterflies kiss the tulips and the sun is like a toy balloon there are get-up-in-the-morning glories in the golden afternoon there are dizzy daffodils on the hillside strings of violets are all in tune tiger lilies love the dandelions in the golden afternoon there are dog and cat-erpillars and a copper centipede where the lazy daisies love the very peaceful life they lead you can learn a lot of things from the flowers for especially in the month of june there's a wealth of happiness and romance all in the golden afternoon all in the golden afternoon the golden afternoon you can learn a lot of things from the flowers for especially in the month of june there's a wealth of happiness and romance all in the golden afternoon 
Alice in Wonderland,I'm Late,i'm late i'm late for a very important date no time to say hello goodbye i'm late i'm late i'm late no no no no no no no i'm overdue i'm really in a stew no time to say goodbye hello i'm late i'm late i'm late 
Alice in Wonderland,In a World of My Own,cats and rabbits would reside in fancy little houses and be dressed in shoes and hats and trousers in a world of my own all the flowers would have very extra-special powers they would sit and talk to me for hours when i'm lonely in a world of my own there'd be new birds lots of nice and friendly how-de-do birds everyone would have a dozen blue birds within that world of my own i could listen to a babbling brook and hear a song that i could understand i keep wishing it could be that way because my world would be a wonderland 
Alice in Wonderland,Old Father William,you are old father william the young man said and your hair has become very white and yet you incessantly stand on your head do you think at your age it is right is right do you think at your age it is right well in me youth father william replied to his son i'd do it again and again 
Alice in Wonderland,Painting the Roses Red, painting the roses red we're painting the roses red we dare not stop or waste a drop so let the paint be spread we're painting the roses red we're painting the roses red painting the roses red and many a tear we shed  because we know  they'll cease to grow  in fact they'll soon be dead  and yet we go ahead painting the roses red painting the roses red we're painting the roses red  oh pardon me but mister three why must you paint them red  the queen she likes them red if she saw white instead she'd raise a fuss and each of us would quickly lose his head since this is the thought we dread we're painting the roses red  painting the roses red  we're painting the roses red  don't tell the queen what you have seen or say that's what we said but we're painting the roses red  yes painting the roses red  not pink   not green  not aquamarine  we're painting the roses red 
Alice in Wonderland,Smoke the Blighter Out,oh we'll smoke the blighter out we'll put the beast to rout some kindling a stick or two ah this bit of rubbish ought to do we'll smoke the blighter out we'll smoke the monster out oh we'll roast the blighter's toes we'll toast the bounder's nose just fetch that gate we'll make it clear that monsters aren't welcome here without a single doubt we'll smoke the monster out we'll smoke the monster out 
Alice in Wonderland,The Caucus Race,forward backward inward outward come and join the chase nothing could be drier than a jolly caucus race backward forward outward inward bottom to the top never a beginning there can never be a stop to skipping hopping tripping fancy-free and gay i started it tomorrow but will finish yesterday round and round and round we go until for evermore once we were behind but now we find we are forward backward inward outward come and join the chase nothing could be drier than a jolly caucus race 
Alice in Wonderland,The Un-birthday Song,a very merry un-birthday to me to who to me oh you a very merry un-birthday to you who me yes you oh me let's all congratulate us with another cup of tea a very merry un-birthday to you a very merry un-birthday to me to you a very merry un-birthday for me for you now blow the candle out my dear and make your wish come true a very merry un-birthday to you 
Alice in Wonderland,The Walrus and the Carpenter, the sun was shining on the sea shining with all his might he did his very best to make the billows smooth and bright and this was odd because it was the middle of the night the walrus and the carpenter were walking close at hand the beach was wide from side to side but much too full of sand mr walrus said the carpenter my brain begins to perk we'll sweep this clear in 'alf a year if you don't mind the work  work the time has come the walrus said to talk of other things of shoes and ships and sealing wax of cabbages and kings and why the sea is boiling hot and whether pigs have wings calloo-callay no work today we're cabbages and kings oh uh oysters come and walk with us the day is warm and bright a pleasant walk a pleasant talk would be a sheer delight  yes and should we get hungry on the way we'll stop and uh have a bite  but mother oyster winked her eye and shook her hairy head she knew too well this was no time to leave her oyster bed the sea is nice take my advice and stay right here mum said  yes yes of course of course but uh ha ha the time has come my little friends to talk of other things of shoes and ships and sealing wax of cabbages and kings and why the sea is boiling hot and whether pigs have wings ha ha calloo-callay come run away we're the cabbages and kings oh yes the time has come my little friends to talk of food and things  of peppercorns and mustard seeds and other seasonings we'll mix 'em all together in a sauce that's fit for kings calloo-callay we'll eat today like cabbages and kings  i uh ii weep for you i hic oh excuse me i deeply sympathize for i've enjoyed your company oh much more than you realize  little oysters little oysters  but answer there came none and this was scarcely odd because they'd been eaten every one  the time has come  we're cabbages and kings 
